rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,birthDate,lastName,firstName,title,date,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
256,8100,Diversified,Marie-Hélène Habert-Dassault,58,France,Paris,Diversified,Diversified,France,,FALSE,D,F,4/4/1965 0:00,Habert-Dassault,Marie-Hélène,,4/4/2023 5:01,,,1965,4,4,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749
256,8100,GamblingCasinos,Karel Komarek,54,Switzerland,Verbier,"Oilgas, IT, lotteries",GamblingCasinos,Czech Republic,,TRUE,U,M,3/15/1969 0:00,Komarek,Karel,,4/4/2023 5:01,,,1969,3,15,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
261,8000,Technology,Nathan Blecharczyk,39,United States,San Francisco,Airbnb,Technology,United States,,TRUE,D,M,6/11/1983 0:00,Blecharczyk,Nathan,,4/4/2023 5:01,California,West,1983,6,11,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
261,8000,Energy,Leonid Fedun,66,Russia,Moscow,Oil,Energy,Russia,,TRUE,U,M,4/5/1956 0:00,Fedun,Leonid,,4/4/2023 5:01,,,1956,4,5,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
261,8000,FashionRetail,Bernard Marcus,93,United States,Atlanta,Home Depot,FashionRetail,United States,Home Depot,TRUE,D,M,5/12/1929 0:00,Marcus,Bernard,"Co-founder, ex chairman of the board",4/4/2023 5:01,Georgia,South,1929,5,12,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
261,8000,FinanceInvestments,Patrick Ryan,85,United States,Winnetka,Insurance,FinanceInvestments,United States,Ryan Specialty Group,TRUE,E,M,5/15/1937 0:00,Ryan,Patrick,ChairmanCEO,4/4/2023 5:01,Illinois,Midwest,1937,5,15,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
261,8000,FinanceInvestments,Robert F. Smith,60,United States,Austin,Private equity,FinanceInvestments,United States,,TRUE,U,M,12/1/1962 0:00,Smith,Robert F.,Investor,4/4/2023 5:01,Texas,South,1962,12,1,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
261,8000,MetalsMining,Pavel Tykac,58,Czech Republic,Prague,Coal mines,MetalsMining,Czech Republic,,TRUE,U,M,5/15/1964 0:00,Tykac,Pavel,,4/4/2023 5:01,,,1964,5,15,116.48,2.8,"$246,489,245,495 ",64.1,100.7,79,14.9,46.1,10669709,49.817492,15.472962
261,8000,FinanceInvestments,Eric Wittouck,76,Monaco,,Investments,FinanceInvestments,Belgium,,FALSE,D,M,10/1/1946 0:00,Wittouck,Eric,,4/4/2023 5:01,,,1946,10,1,,,"$7,184,844,193 ",,,,,,38964,43.7384176,7.4246158
268,7900,FinanceInvestments,Orlando Bravo,52,United States,Miami Beach,Private equity,FinanceInvestments,United States,,TRUE,U,M,9/23/1970 0:00,Bravo,Orlando,,4/4/2023 5:01,Florida,South,1970,9,23,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
268,7900,FashionRetail,Ding Shizhong,52,China,Quanzhou,Sports apparel,FashionRetail,China,,TRUE,U,M,12/1/1970 0:00,Ding,Shizhong,,4/4/2023 5:01,,,1970,12,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
268,7900,FashionRetail,Nancy Walton Laurie,71,United States,Henderson,Walmart,FashionRetail,United States,,FALSE,D,F,5/15/1951 0:00,Laurie,Nancy Walton,,4/4/2023 5:01,Nevada,West,1951,5,15,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
268,7900,Technology,Jay Y. Lee,54,South Korea,Seoul,Samsung,Technology,South Korea,,FALSE,D,M,6/23/1968 0:00,Lee,Jay Y.,,4/4/2023 5:01,,,1968,6,23,115.16,0.4,"$2,029,000,000,000 ",94.3,98.1,82.6,15.6,33.2,51709098,35.907757,127.766922
268,7900,FinanceInvestments,Ramzi Musallam,54,United States,New York,Private equity,FinanceInvestments,United States,,TRUE,U,M,9/17/1968 0:00,Musallam,Ramzi,,4/4/2023 5:01,New York,Northeast,1968,9,17,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
268,7900,FinanceInvestments,David Shaw,72,United States,New York,Hedge funds,FinanceInvestments,United States,"D. E. ShawCo., L.P.",TRUE,U,M,3/29/1951 0:00,Shaw,David,Founder,4/4/2023 5:01,New York,Northeast,1951,3,29,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
268,7900,MetalsMining,Andrei Skochfamily,57,Russia,Moscow,Metalsmining,MetalsMining,Russia,,TRUE,U,M,1/30/1966 0:00,Skochfamily,Andrei,,4/4/2023 5:01,,,1966,1,30,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
268,7900,Diversified,Georg Stumpf,50,Austria,Vienna,"Real estate, construction",Diversified,Austria,,TRUE,E,M,9/14/1972 0:00,Stumpf,Georg,,4/4/2023 5:01,,,1972,9,14,118.06,1.5,"$446,314,739,528 ",85.1,103.1,81.6,25.4,51.4,8877067,47.516231,14.550072
276,7800,Telecom,Rocco Commisso,73,United States,Saddle River,Telecom,Telecom,United States,,TRUE,U,M,11/25/1949 0:00,Commisso,Rocco,,4/4/2023 5:01,New Jersey,Northeast,1949,11,25,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
276,7800,Manufacturing,Li Shuirongfamily,66,China,Hangzhou,Petrochemicals,Manufacturing,China,,TRUE,D,M,7/1/1956 0:00,Li,Shuirong,,4/4/2023 5:01,,,1956,7,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
276,7800,Manufacturing,Lin Shu-hong,94,Taiwan,Taipei,Petrochemicals,Manufacturing,Taiwan,,TRUE,U,M,8/1/1928 0:00,Lin,Shu-hong,,4/4/2023 5:01,,,1928,8,1,,,,,,,,,,,
276,7800,Technology,Qi Shifamily,53,China,Shanghai,Financial information,Technology,China,,TRUE,D,M,1/3/1970 0:00,Qi,Shi,,4/4/2023 5:01,,,1970,1,3,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
276,7800,Manufacturing,Yao Liangsong,58,China,Guangzhou,Furniture,Manufacturing,China,,TRUE,D,M,8/1/1964 0:00,Yao,Liangsong,,4/4/2023 5:01,,,1964,8,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
276,7800,FashionRetail,Zhang Congyuan,75,Taiwan,Taoyuan,Shoes,FashionRetail,Taiwan,,TRUE,D,M,1/1/1948 0:00,Zhang,Congyuan,,4/4/2023 5:01,,,1948,1,1,,,,,,,,,,,
282,7700,FoodBeverage,Jean-Michel Besnier,55,France,Laval,Cheese,FoodBeverage,France,,FALSE,D,M,6/5/1967 0:00,Besnier,Jean-Michel,,4/4/2023 5:01,,,1967,6,5,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749
282,7700,FoodBeverage,Marie Besnier Beauvalot,42,France,Laval,Cheese,FoodBeverage,France,,FALSE,D,F,7/30/1980 0:00,Besnier Beauvalot,Marie,,4/4/2023 5:01,,,1980,7,30,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749
282,7700,MediaEntertainment,David Geffen,80,United States,Beverly Hills,"Movies, record labels",MediaEntertainment,United States,DreamWorks Animation SKG Inc. (Cl A),TRUE,D,M,2/21/1943 0:00,Geffen,David,Cofounder,4/4/2023 5:01,California,West,1943,2,21,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
282,7700,Technology,Robin Li,54,China,Beijing,Internet search,Technology,China,Baidu,TRUE,U,M,11/17/1968 0:00,Li,Robin,FounderCEO,4/4/2023 5:01,,,1968,11,17,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
282,7700,Service,Liu Yonghaofamily,71,China,Chengdu,Agribusiness,Service,China,,TRUE,D,M,9/1/1951 0:00,Liu,Yonghao,,4/4/2023 5:01,,,1951,9,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
282,7700,Technology,Henry Samueli,68,United States,Newport Beach,Semiconductors,Technology,United States,Broadcom,TRUE,U,M,9/20/1954 0:00,Samueli,Henry,"Cofounder, Chief Technology OfficerChairman",4/4/2023 5:01,California,West,1954,9,20,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
282,7700,Healthcare,Reinhold Schmieding,68,United States,Naples,Medical devices,Healthcare,United States,,TRUE,U,M,1/3/1955 0:00,Schmieding,Reinhold,,4/4/2023 5:01,Florida,South,1955,1,3,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
282,7700,Real Estate,Ivar Tollefsen,61,Norway,Oslo,Real estate,Real Estate,Norway,,TRUE,U,M,6/23/1961 0:00,Tollefsen,Ivar,,4/4/2023 5:01,,,1961,6,23,120.27,2.2,"$403,336,363,636 ",82,100.3,82.8,23.9,36.2,5347896,60.472024,8.468946
290,7600,Energy,Cao Renxian,54,China,Hefei,Photovoltaic equipment,Energy,China,,TRUE,D,M,7/24/1968 0:00,Cao,Renxian,,4/4/2023 5:01,,,1968,7,24,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
290,7600,Healthcare,Hasmukh Chudgarfamily,89,India,Ahmedabad,Pharmaceuticals,Healthcare,India,,TRUE,U,M,9/19/1933 0:00,Chudgar,Hasmukh,,4/4/2023 5:01,,,1933,9,19,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
290,7600,Manufacturing,Andrew Currie,67,United Kingdom,London,Chemicals,Manufacturing,United Kingdom,,TRUE,U,M,12/4/1955 0:00,Currie,Andrew,,4/4/2023 5:01,,,1955,12,4,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
290,7600,Technology,Joe Gebbia,41,United States,Austin,Airbnb,Technology,United States,"Airbnb, Inc.",TRUE,D,M,8/21/1981 0:00,Gebbia,Joe,CofounderChair of Airbnb.org,4/4/2023 5:01,Texas,South,1981,8,21,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
290,7600,Real Estate,Philip Ng,64,Singapore,Singapore,Real Estate,Real Estate,Singapore,,FALSE,Split Family Fortune,M,1/1/1959 0:00,Ng,Philip,,4/4/2023 5:01,,,1959,1,1,114.41,0.6,"$372,062,527,489 ",84.8,100.6,83.1,13.1,21,5703569,1.352083,103.819836
290,7600,Manufacturing,John Reece,66,United Kingdom,London,Chemicals,Manufacturing,United Kingdom,,TRUE,U,M,3/7/1957 0:00,Reece,John,,4/4/2023 5:01,,,1957,3,7,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
290,7600,Real Estate,Leonard Stern,85,United States,New York,Real estate,Real Estate,United States,"Hartz Mountain Industries, Inc.",FALSE,U,M,3/28/1938 0:00,Stern,Leonard,ChairmanCEO,4/4/2023 5:01,New York,Northeast,1938,3,28,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
290,7600,Technology,Joseph Tsai,59,Hong Kong,Hong Kong,E-commerce,Technology,Canada,,TRUE,D,M,1/19/1964 0:00,Tsai,Joseph,,4/4/2023 5:01,,,1964,1,19,,,,,,,,,,,
290,7600,Healthcare,Zhong Huijuan,62,China,Shanghai,Pharmaceuticals,Healthcare,China,,TRUE,D,F,1/1/1961 0:00,Zhong,Huijuan,,4/4/2023 5:01,,,1961,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
299,7500,Sports,Arthur Blank,80,United States,Atlanta,Home Depot,Sports,United States,Atlanta Falcons,TRUE,U,M,9/27/1942 0:00,Blank,Arthur,Chairman,4/4/2023 5:01,Georgia,South,1942,9,27,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
299,7500,FashionRetail,Charles Butt,85,United States,San Antonio,Supermarkets,FashionRetail,United States,,FALSE,R,M,2/3/1938 0:00,Butt,Charles,,4/4/2023 5:01,Texas,South,1938,2,3,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
299,7500,FashionRetail,Ding Shijia,59,China,Quanzhou,Sports apparel,FashionRetail,China,,TRUE,D,M,1/1/1964 0:00,Ding,Shijia,,4/4/2023 5:01,,,1964,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
299,7500,FinanceInvestments,"Paul Tudor Jones, II.",68,United States,Palm Beach,Hedge funds,FinanceInvestments,United States,Tudor Investment Corporation,TRUE,U,M,9/28/1954 0:00,Jones,Paul Tudor,Founder,4/4/2023 5:01,Florida,South,1954,9,28,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
299,7500,FinanceInvestments,Henry Kravis,79,United States,New York,Private equity,FinanceInvestments,United States,KKRCo.,TRUE,D,M,1/6/1944 0:00,Kravis,Henry,Co-ChairCo-CEO,4/4/2023 5:01,New York,Northeast,1944,1,6,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
299,7500,FoodBeverage,Zhang Yong,52,Singapore,Singapore,Restaurants,FoodBeverage,Singapore,,TRUE,U,M,7/1/1970 0:00,Zhang,Yong,,4/4/2023 5:01,,,1970,7,1,114.41,0.6,"$372,062,527,489 ",84.8,100.6,83.1,13.1,21,5703569,1.352083,103.819836
305,7400,Technology,James Goodnight,80,United States,Cary,Software,Technology,United States,SAS Institute,TRUE,U,M,1/6/1943 4:00,Goodnight,James,CEO,4/4/2023 9:01,North Carolina,South,1943,1,6,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
305,7400,Manufacturing,Sri Prakash Lohia,70,United Kingdom,London,Petrochemicals,Manufacturing,Indonesia,,FALSE,U,M,8/11/1952 0:00,Lohia,Sri Prakash,,4/4/2023 5:01,,,1952,8,11,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
305,7400,FashionRetail,Ma Jianrong,59,China,Ningbo,"Textiles, apparel",FashionRetail,China,,TRUE,D,M,1/1/1964 0:00,Ma,Jianrong,,4/4/2023 5:01,,,1964,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
305,7400,Real Estate,Robert Ng,71,Singapore,Singapore,Real estate,Real Estate,Singapore,,FALSE,Split Family Fortune,M,1/1/1952 0:00,Ng,Robert,,4/4/2023 5:01,,,1952,1,1,114.41,0.6,"$372,062,527,489 ",84.8,100.6,83.1,13.1,21,5703569,1.352083,103.819836
305,7400,Manufacturing,Steven Rales,72,United States,Santa Barbara,"Manufacturing, investments",Manufacturing,United States,Danaher,TRUE,D,M,3/31/1951 0:00,Rales,Steven,Investor,4/4/2023 5:01,California,West,1951,3,31,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
305,7400,ConstructionEngineering,Nassef Sawiris,62,Egypt,Cairo,"Construction, investments",ConstructionEngineering,Egypt,,FALSE,D,M,1/19/1961 0:00,Sawiris,Nassef,,4/4/2023 5:01,,,1961,1,19,288.57,9.2,"$303,175,127,598 ",35.2,106.3,71.8,12.5,44.4,100388073,26.820553,30.802498
305,7400,FoodBeverage,Harry Stine,81,United States,Adel,Agriculture,FoodBeverage,United States,,TRUE,U,M,11/30/1941 0:00,Stine,Harry,,4/4/2023 5:01,Iowa,Midwest,1941,11,30,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
312,7300,Manufacturing,Benu Gopal Bangur,91,India,Kolkata,Cement,Manufacturing,India,,FALSE,U,M,6/1/1931 0:00,Bangur,Benu Gopal,,4/4/2023 5:01,,,1931,6,1,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
312,7300,MetalsMining,Iskander Makhmudov,59,Russia,Moscow,"Mining, metals, machinery",MetalsMining,Russia,,TRUE,U,M,12/5/1963 0:00,Makhmudov,Iskander,,4/4/2023 5:01,,,1963,12,5,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
312,7300,FashionRetail,Anders Holch Povlsen,50,Denmark,Aarhus,Fashion retail,FashionRetail,Denmark,,FALSE,D,M,11/4/1972 0:00,Povlsen,Anders Holch,,4/4/2023 5:01,,,1972,11,4,110.35,0.8,"$348,078,018,464 ",80.6,101.3,81,32.4,23.8,5818553,56.26392,9.501785
312,7300,Logistics,Enrique Razon Jr.,63,Philippines,Manila,Ports,Logistics,Philippines,,FALSE,U,M,3/3/1960 0:00,Razon Jr.,Enrique,,4/4/2023 5:01,,,1960,3,3,129.61,2.5,"$376,795,508,680 ",35.5,107.5,71.1,14,43.1,108116615,12.879721,121.774017
312,7300,Technology,Wang Laichun,55,China,Shenzhen,Electronics components,Technology,Hong Kong,,TRUE,D,F,6/3/1967 0:00,Wang,Laichun,,4/4/2023 5:01,,,1967,6,3,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
317,7200,FinanceInvestments,Arthur Dantchik,65,United States,Gladwyne,"Trading, investments",FinanceInvestments,United States,,TRUE,N,M,11/25/1957 0:00,Dantchik,Arthur,,4/4/2023 5:01,Pennsylvania,Northeast,1957,11,25,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
317,7200,Technology,Terry Gou,72,Taiwan,Taipei,Electronics,Technology,Taiwan,Hon Hai Precision Industries,TRUE,U,M,10/18/1950 0:00,Gou,Terry,CEO,4/4/2023 5:01,,,1950,10,18,,,,,,,,,,,
317,7200,Real Estate,Jeff Greene,68,United States,Palm Beach,"Real estate, investments",Real Estate,United States,,TRUE,U,M,12/10/1954 0:00,Greene,Jeff,,4/4/2023 5:01,Florida,South,1954,12,10,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
317,7200,FinanceInvestments,Don Hankey,79,United States,Malibu,Auto loans,FinanceInvestments,United States,Hankey Group,TRUE,U,M,6/13/1943 0:00,Hankey,Don,Chairman,4/4/2023 5:01,California,West,1943,6,13,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
317,7200,Energy,Richard Kinder,78,United States,Houston,Pipelines,Energy,United States,Kinder Morgan Inc,TRUE,D,M,10/19/1944 0:00,Kinder,Richard,ChairmanCEO,4/4/2023 5:01,Texas,South,1944,10,19,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
317,7200,FinanceInvestments,Guillaume Pousaz,41,United Arab Emirates,Dubai,Fintech,FinanceInvestments,Switzerland,,TRUE,D,M,8/15/1981 0:00,Pousaz,Guillaume,,4/4/2023 5:01,,,1981,8,15,114.52,-1.9,"$421,142,267,938 ",36.8,108.4,77.8,0.1,15.9,9770529,23.424076,53.847818
317,7200,FashionRetail,Takahisa Takahara,61,Japan,Tokyo,Personal care goods,FashionRetail,Japan,,FALSE,U,M,7/12/1961 0:00,Takahara,Takahisa,,4/4/2023 5:01,,,1961,7,12,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568,36.204824,138.252924
317,7200,FoodBeverage,Zong Qinghou,77,China,Hangzhou,Beverages,FoodBeverage,China,Hangzhou Wahaha Group,TRUE,D,M,10/1/1945 0:00,Zong,Qinghou,Chairman,4/4/2023 5:01,,,1945,10,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
325,7100,Technology,Judy Faulkner,79,United States,Madison,Healthcare software,Technology,United States,Epic Systems,TRUE,U,F,8/1/1943 0:00,Faulkner,Judy,FounderCEO,4/4/2023 5:01,Wisconsin,Midwest,1943,8,1,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
325,7100,GamblingCasinos,Johann Graf,76,Austria,Vienna,Gambling,GamblingCasinos,Austria,,TRUE,U,M,1/3/1947 0:00,Graf,Johann,,4/4/2023 5:01,,,1947,1,3,118.06,1.5,"$446,314,739,528 ",85.1,103.1,81.6,25.4,51.4,8877067,47.516231,14.550072
325,7100,Service,Tamara Gustavson,61,United States,Lexington,Self storage,Service,United States,,FALSE,D,F,11/16/1961 0:00,Gustavson,Tamara,,4/4/2023 5:01,Kentucky,South,1961,11,16,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
325,7100,Manufacturing,Liang Wengen,66,China,Changsha,Construction equipment,Manufacturing,China,,TRUE,D,M,12/14/1956 0:00,Liang,Wengen,,4/4/2023 5:01,,,1956,12,14,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
325,7100,Healthcare,Frederik Paulsen,72,Switzerland,Lausanne,Health care,Healthcare,Sweden,,FALSE,D,M,10/30/1950 0:00,Paulsen,Frederik,,4/4/2023 5:01,,,1950,10,30,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
325,7100,FinanceInvestments,Wee Cho Yaw,94,Singapore,Singapore,Banking,FinanceInvestments,Singapore,,FALSE,D,M,1/10/1929 0:00,Wee,Cho Yaw,,4/4/2023 5:01,,,1929,1,10,114.41,0.6,"$372,062,527,489 ",84.8,100.6,83.1,13.1,21,5703569,1.352083,103.819836
325,7100,Manufacturing,Zhang Hejun,71,China,Ningbo,Electronics,Manufacturing,China,,TRUE,U,M,1/1/1952 0:00,Zhang,Hejun,,4/4/2023 5:01,,,1952,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
332,7000,Technology,Marc Benioff,58,United States,San Francisco,Business software,Technology,United States,Salesforce.com,TRUE,D,M,9/25/1964 0:00,Benioff,Marc,ChairmanCEO,4/4/2023 5:01,California,West,1964,9,25,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
332,7000,MediaEntertainment,Dmitri Bukhman,37,United Kingdom,London,Online games,MediaEntertainment,Israel,,TRUE,D,M,5/27/1985 0:00,Bukhman,Dmitri,,4/4/2023 5:01,,,1985,5,27,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
332,7000,MediaEntertainment,Igor Bukhman,41,United Kingdom,London,Online games,MediaEntertainment,Israel,,TRUE,D,M,3/29/1982 0:00,Bukhman,Igor,,4/4/2023 5:01,,,1982,3,29,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
332,7000,Technology,Jack Dangermond,77,United States,Redlands,Mapping software,Technology,United States,,TRUE,U,M,7/23/1945 0:00,Dangermond,Jack,,4/4/2023 5:01,California,West,1945,7,23,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
332,7000,Manufacturing,Ashwin Danifamily,80,India,Mumbai,Paints,Manufacturing,India,,FALSE,D,M,10/24/1942 0:00,Dani,Ashwin,,4/4/2023 5:01,,,1942,10,24,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
332,7000,FashionRetail,Ralph Lauren,83,United States,New York,Apparel,FashionRetail,United States,Ralph Lauren,TRUE,U,M,10/14/1939 0:00,Lauren,Ralph,Chairman ,4/4/2023 5:01,New York,Northeast,1939,10,14,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
332,7000,Real Estate,Law Kar Po,74,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,,FALSE,U,M,8/2/1948 0:00,Law,Kar Po,,4/4/2023 5:01,,,1948,8,2,,,,,,,,,,,
332,7000,Diversified,Rohiqa Cyrus Mistry,55,India,Mumbai,Diversified,Diversified,India,,FALSE,N,F,6/6/1967 0:00,Mistry,Rohiqa Cyrus,,4/4/2023 5:01,,,1967,6,6,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
332,7000,Diversified,Shapoor Mistry,58,India,Mumbai,Diversified,Diversified,Ireland,,FALSE,N,M,9/6/1964 0:00,Mistry,Shapoor,,4/4/2023 5:01,,,1964,9,6,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
332,7000,FoodBeverage,J. Christopher Reyes,69,United States,Hobe Sound,Food distribution,FoodBeverage,United States,"Reyes Holdings, LLC",TRUE,D,M,12/29/1953 0:00,Reyes,J. Christopher,Co-Chairman,4/4/2023 5:01,Florida,South,1953,12,29,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
332,7000,FoodBeverage,Jude Reyes,67,United States,Palm Beach,Food distribution,FoodBeverage,United States,"Reyes Holdings, LLC",TRUE,D,M,9/16/1955 0:00,Reyes,Jude,Co-Chairman,4/4/2023 5:01,Florida,South,1955,9,16,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
332,7000,FoodBeverage,Don Vultaggiofamily,71,United States,Port Washington,Beverages,FoodBeverage,United States,,TRUE,U,M,2/26/1952 0:00,Vultaggio,Don,,4/4/2023 5:01,New York,Northeast,1952,2,26,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
344,6900,Diversified,Alejandro Bailleres Gualfamily,62,Mexico,,Diversified,Diversified,Mexico,,FALSE,U,M,1/1/1961 0:00,Bailleres Gual,Alejandro,,4/4/2023 5:01,,,1961,1,1,141.54,3.6,"$1,258,286,717,125 ",40.2,105.8,75,13.1,55.1,126014024,23.634501,-102.552784
